telegram_index,telescope,source
226_gcn,['telescope not found'],"['grb', 'grb 990123', 'galaxy']"
227_gcn,['telescope not found'],"['grb', 'grb 990123', 'star']"
228_gcn,['asca'],['source not found']
229_gcn,['bepposax'],['source not found']
230_gcn,['telescope not found'],"['grb', 'grb 990123']"
231_gcn,['gamma'],"['grb', 'grb 990123']"
232_gcn,['bepposax'],"['grb', 'grb 990123', 'total']"
233_gcn,['telescope not found'],"['galaxy', 'star']"
234_gcn,['most'],"['grb', 'grb 990123', 'galaxy']"
235_gcn,['telescope not found'],"['grb', 'grb 990123']"
237_gcn,['telescope not found'],"['grb', 'grb 990123']"
236_gcn,['gamma'],"['grb', 'grb 990123', 'galaxy', 'gamma-ray burst']"
238_gcn,['most'],"['low mass', 'grb', 'grb 990123', 'galaxy']"
239_gcn,"['gamma', 'very large array']","['grb', 'grb 990123', 'gamma-ray burst', 'radio source']"
240_gcn,['telescope not found'],"['grb', 'grb 990123', 'star']"
241_gcn,"['most', 'gamma']","['grb971214', 'grb', 'sun']"
242_gcn,['palomar'],"['grb', 'grb 990123', 'galaxy', 'total', 'star']"
243_gcn,"['most', 'palomar']","['grb', 'grb 990123', 'galaxy', 'star']"
244_gcn,['ryle telescope'],['source not found']
245_gcn,['gamma'],"['grb', 'grb 990123']"
246_gcn,['telescope not found'],"['grb', 'grb 990123']"
247_gcn,['gamma'],"['grb', 'cloud', 'gamma-ray burst']"
248_gcn,['telescope not found'],"['grb', 'grb 990123', 'galaxy', 'total', 'star']"
249_gcn,['telescope not found'],"['grb', 'grb 990123', 'galaxy']"
250_gcn,['telescope not found'],['source not found']
251_gcn,['telescope not found'],"['grb', 'cloud', 'grb 990123', 'galaxy']"
252_gcn,['astron'],"['grb', 'grb 990123', 'star']"
253_gcn,['gamma'],['grb']
254_gcn,['telescope not found'],"['grb', 'grb 990123']"
255_gcn,['palomar'],"['grb', 'grb 990123', 'galaxy', 'total']"
256_gcn,['most'],"['grb', 'grb 990123', 'galaxy']"
257_gcn,['most'],"['grb', 'grb 990123', 'galaxy', 'total', 'star']"
258_gcn,['telescope not found'],['source not found']
259_gcn,['bepposax'],['source not found']
260_gcn,['gamma'],"['grb', 'galaxy', 'total', 'star']"
261_gcn,['palomar'],"['grb', 'grb 990123']"
262_gcn,['telescope not found'],['grb']
263_gcn,"['bepposax', 'gamma']","['gamma-ray burst', 'total']"
264_gcn,['most'],['source not found']
265_gcn,['telescope not found'],['source not found']
266_gcn,['australia telescope compact array'],"['grb', 'total']"
268_gcn,['telescope not found'],"['grb', 'grb 990123']"
267_gcn,['bepposax'],['grb']
40_atel,['telescope not found'],['pulsar']
270_gcn,"['bepposax', 'gamma']","['gamma-ray burst', 'radio source']"
269_gcn,['very long baseline array'],"['grb', 'radio source']"
271_gcn,['telescope not found'],['sgr']
272_gcn,['most'],"['grb', 'star']"
273_gcn,['telescope not found'],['source not found']
274_gcn,"['rxte', 'gamma']",['grb']
275_gcn,['rxte'],"['grb', 'total']"
276_gcn,['telescope not found'],['source not found']
277_gcn,['gamma'],"['grb', 'total', 'star']"
278_gcn,['telescope not found'],['total']
279_gcn,['telescope not found'],"['grb', 'total']"
280_gcn,['new technology telescope'],['star']
281_gcn,['westerbork synthesis radio telescope'],['radio source']
282_gcn,['nordic optical telescope'],['grb']
283_gcn,['gamma'],['gamma-ray burst']
284_gcn,['rxte'],['source not found']
285_gcn,['telescope not found'],['source not found']
287_gcn,['telescope not found'],"['grb', 'radio source']"
286_gcn,['telescope not found'],"['sun', 'galaxy', 'grb980425']"
288_gcn,['telescope not found'],['source not found']
289_gcn,['telescope not found'],"['grb', 'galaxy', 'grb 970228', 'star']"
290_gcn,['rxte'],['grb']
291_gcn,"['rxte', 'most']",['source not found']
292_gcn,"['rxte', 'u.s. naval observatory']",['grb']
299_gcn,"['rxte', 'u.s. naval observatory']",['grb']
298_gcn,['rxte'],"['x-ray source', 'grb']"
296_gcn,['telescope not found'],['source not found']
295_gcn,['rxte'],['grb']
297_gcn,['palomar'],"['grb', 'star']"
293_gcn,['rxte'],['source not found']
294_gcn,"['u.s. naval observatory', 'iac', 'rxte']",['grb']
302_gcn,['telescope not found'],['star']
300_gcn,"['u.s. naval observatory', 'iac', 'rxte']",['grb']
301_gcn,['wiyn telescope'],"['grb', 'star']"
303_gcn,['rxte'],"['grb', 'star']"
306_gcn,['rxte'],"['x-ray source', 'grb']"
312_gcn,['telescope not found'],['source not found']
41_atel,['rxte'],"['x-ray binary', 'aquila']"
307_gcn,['telescope not found'],"['grb', 'grb 990123']"
305_gcn,['u.s. naval observatory'],"['grb', 'star']"
311_gcn,['bepposax'],['x-ray source']
308_gcn,['rxte'],['grb']
310_gcn,['telescope not found'],"['microlensing team', 'grb']"
304_gcn,['bepposax'],['grb']
309_gcn,['bepposax'],['grb']
316_gcn,['ogle'],"['grb', 'total', 'star']"
317_gcn,"['bepposax', 'gamma']","['grb', 'gamma-ray burst', 'total']"
315_gcn,['telescope not found'],['star']
314_gcn,['telescope not found'],"['grb', 'galaxy', 'star']"
313_gcn,['telescope not found'],"['grb', 'microlensing team', 'star']"
322_gcn,['bepposax'],['grb']
321_gcn,['telescope not found'],['star']
320_gcn,['telescope not found'],['grb']
318_gcn,['telescope not found'],"['grb', 'star']"
319_gcn,['ogle'],"['galaxy', 'grb']"
323_gcn,['telescope not found'],"['grb', 'grb 990123', 'star']"
324_gcn,['bepposax'],['grb']
327_gcn,['telescope not found'],"['grb', 'total']"
326_gcn,['bepposax'],"['x-ray source', 'grb', 'total']"
328_gcn,['ogle'],"['grb', 'galaxy', 'star']"
325_gcn,['telescope not found'],"['grb', 'galaxy', 'star']"
329_gcn,['telescope not found'],"['galaxy', 'star']"
330_gcn,['telescope not found'],['grb']
332_gcn,['telescope not found'],"['galaxy', 'star']"
331_gcn,['telescope not found'],"['galaxy', 'star']"
333_gcn,"['bepposax', 'fast']","['x-ray source', 'grb']"
335_gcn,['telescope not found'],"['radio source', 'galaxy', 'optical source']"
334_gcn,"['bepposax', 'fast']",['radio source']
337_gcn,"['bepposax', 'fast']","['galaxy', 'radio source']"
338_gcn,"['bepposax', 'fast']","['radio source', 'galaxy', 'total', 'star']"
336_gcn,['telescope not found'],['source not found']
339_gcn,"['bepposax', 'fast']",['grb']
340_gcn,['bepposax'],"['galaxy', 'star']"
341_gcn,['telescope not found'],"['galaxy', 'star']"
342_gcn,['nordic optical telescope'],['grb']
343_gcn,"['bepposax', 'fast']","['grb', 'radio source', 'galaxy', 'total']"
344_gcn,"['bepposax', 'gamma']","['sgr', 'gamma-ray burst', 'total']"
345_gcn,['telescope not found'],"['radio source', 'galaxy', 'star']"
346_gcn,['telescope not found'],"['grb', 'grb 990123', 'grb 980425', 'grb 970228']"
348_gcn,['nordic optical telescope'],['radio source']
347_gcn,['gamma'],['gamma-ray burst']
349_gcn,['most'],"['moon', 'grb']"
351_gcn,['telescope not found'],"['grb', 'radio source', 'galaxy', 'total', 'star']"
350_gcn,['rxte'],['grb']
352_gcn,['telescope not found'],['grb']
353_gcn,['telescope not found'],['galaxy']
354_gcn,['telescope not found'],"['grb', 'grb 990123', 'outflow', 'total']"
355_gcn,['bepposax'],['grb']
356_gcn,['bepposax'],['grb']
357_gcn,"['australia telescope compact array', 'bepposax']",['grb']
358_gcn,['telescope not found'],"['total', 'star']"
359_gcn,['bepposax'],"['x-ray source', 'radio source', 'total']"
360_gcn,['bepposax'],['grb']
361_gcn,['bepposax'],['grb']
366_gcn,['bepposax'],['source not found']
362_gcn,['telescope not found'],['grb']
367_gcn,['telescope not found'],"['x-ray source', 'grb']"
368_gcn,"['most', 'bepposax', 'iras']","['grb', 'nebula', 'cloud', 'planetary nebula', 'large magellanic cloud', 'galaxy', 'star']"
364_gcn,['bepposax'],['source not found']
363_gcn,['telescope not found'],['grb']
369_gcn,['telescope not found'],['grb']
370_gcn,['telescope not found'],"['grb', 'star']"
365_gcn,['u.s. naval observatory'],['grb']
371_gcn,"['bepposax', 'nordic optical telescope']",['grb']
372_gcn,['asca'],"['x-ray source', 'grb']"
373_gcn,['bepposax'],['total']
374_gcn,"['bepposax', 'westerbork synthesis radio telescope']","['grb', 'radio source']"
375_gcn,['bepposax'],['x-ray source']
378_gcn,['bepposax'],['source not found']
377_gcn,['bepposax'],"['grb', 'star']"
